Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Jackson County, Illinois",Jackson County,Illinois,56162,108600,,,
"Jasper County, Illinois",Jasper County,Illinois,64563,99000,,,
"Jefferson County, Illinois",Jefferson County,Illinois,61838,92700,56400,16700,127600
"Jersey County, Illinois",Jersey County,Illinois,67884,135400,,,
"Jo Daviess County, Illinois",Jo Daviess County,Illinois,73085,143300,122800,60500,238500
"Johnson County, Illinois",Johnson County,Illinois,59000,96600,,,
"Kane County, Illinois",Kane County,Illinois,97908,223400,229300,153900,349000
"Kankakee County, Illinois",Kankakee County,Illinois,69319,140100,124000,,219000
"Kendall County, Illinois",Kendall County,Illinois,101096,214700,242200,168300,318100
"Knox County, Illinois",Knox County,Illinois,55899,81700,67600,29600,139300
"Lake County, Illinois",Lake County,Illinois,119022,251400,236100,131500,484800
"LaSalle County, Illinois",LaSalle County,Illinois,68744,126100,,,
"Lawrence County, Illinois",Lawrence County,Illinois,56936,72400,,,
"Lee County, Illinois",Lee County,Illinois,72260,116500,,,
"Livingston County, Illinois",Livingston County,Illinois,68968,109500,92300,51000,156700
"Logan County, Illinois",Logan County,Illinois,70265,101300,82400,40700,145600
"McDonough County, Illinois",McDonough County,Illinois,57621,94600,69600,33200,134200
"McHenry County, Illinois",McHenry County,Illinois,98855,212600,214100,142000,307500
"McLean County, Illinois",McLean County,Illinois,84398,163800,147300,91300,232100
"Macon County, Illinois",Macon County,Illinois,66753,95900,75900,,
"Macoupin County, Illinois",Macoupin County,Illinois,65997,98400,66800,27100,140200
"Madison County, Illinois",Madison County,Illinois,73587,130200,116600,54800,226200
"Marion County, Illinois",Marion County,Illinois,57151,71900,,,
"Marshall County, Illinois",Marshall County,Illinois,68783,103300,,,
"Mason County, Illinois",Mason County,Illinois,58760,81000,,,
"Massac County, Illinois",Massac County,Illinois,54991,82500,61400,,
"Menard County, Illinois",Menard County,Illinois,77578,132500,,,
"Mercer County, Illinois",Mercer County,Illinois,65944,105100,,,
"Monroe County, Illinois",Monroe County,Illinois,93742,195500,,,
"Montgomery County, Illinois",Montgomery County,Illinois,61542,81000,56100,19900,127400
"Morgan County, Illinois",Morgan County,Illinois,63874,103400,83200,35300,156800
"Moultrie County, Illinois",Moultrie County,Illinois,64709,107500,,,
"Ogle County, Illinois",Ogle County,Illinois,72293,139900,122600,72000,190000
"Peoria County, Illinois",Peoria County,Illinois,71868,128000,99900,42600,193100
"Perry County, Illinois",Perry County,Illinois,60786,80500,,,
"Piatt County, Illinois",Piatt County,Illinois,82317,128100,121200,78000,221700
"Pike County, Illinois",Pike County,Illinois,54836,74700,,,
"Pope County, Illinois",Pope County,Illinois,52360,84100,,,
"Pulaski County, Illinois",Pulaski County,Illinois,48672,63500,,,
"Putnam County, Illinois",Putnam County,Illinois,77959,120800,,,
"Randolph County, Illinois",Randolph County,Illinois,64951,99900,,,
"Richland County, Illinois",Richland County,Illinois,60496,83200,,,
"Rock Island County, Illinois",Rock Island County,Illinois,66215,115600,105900,68300,171000
"St. Clair County, Illinois",St. Clair County,Illinois,71123,122600,,,
"Saline County, Illinois",Saline County,Illinois,54719,70500,,,
"Sangamon County, Illinois",Sangamon County,Illinois,78048,136100,119500,55800,219700
"Schuyler County, Illinois",Schuyler County,Illinois,59540,83400,,,
"Scott County, Illinois",Scott County,Illinois,63807,87500,,,
"Shelby County, Illinois",Shelby County,Illinois,58633,86800,,,
"Stark County, Illinois",Stark County,Illinois,70160,85600,,,
"Stephenson County, Illinois",Stephenson County,Illinois,59614,97700,,,
"Tazewell County, Illinois",Tazewell County,Illinois,78356,137300,119200,68000,213000
"Union County, Illinois",Union County,Illinois,61861,98600,,,
"Vermilion County, Illinois",Vermilion County,Illinois,57972,75900,58200,24200,122400
"Wabash County, Illinois",Wabash County,Illinois,58736,79000,,,
"Warren County, Illinois",Warren County,Illinois,62951,83900,65700,33000,122600
"Washington County, Illinois",Washington County,Illinois,69400,108100,,,
"Wayne County, Illinois",Wayne County,Illinois,59092,78600,,,
"White County, Illinois",White County,Illinois,60676,69700,,,
"Whiteside County, Illinois",Whiteside County,Illinois,67580,102200,,,
"Will County, Illinois",Will County,Illinois,98610,216400,222700,141900,348800
"Williamson County, Illinois",Williamson County,Illinois,63254,106400,95200,52500,164100
"Winnebago County, Illinois",Winnebago County,Illinois,67175,115900,108600,52600,168100
"Woodford County, Illinois",Woodford County,Illinois,89891,160300,153900,,257400
"Adams County, Indiana",Adams County,Indiana,60175,118900,125700,85400,192400
"Allen County, Indiana",Allen County,Indiana,67755,119400,134800,75300,231200
"Bartholomew County, Indiana",Bartholomew County,Indiana,74096,139400,149600,87900,274900
"Benton County, Indiana",Benton County,Indiana,58906,84900,76900,37800,130400
"Blackford County, Indiana",Blackford County,Indiana,52253,68500,74900,,135500
"Boone County, Indiana",Boone County,Indiana,111176,207500,224700,127800,470600
"Brown County, Indiana",Brown County,Indiana,76047,174800,195000,139100,328600
"Carroll County, Indiana",Carroll County,Indiana,66571,124100,123200,80200,200700
"Cass County, Indiana",Cass County,Indiana,59232,84100,,,147800
"Clark County, Indiana",Clark County,Indiana,66583,131500,,96800,
"Clay County, Indiana",Clay County,Indiana,60074,96000,,,
"Clinton County, Indiana",Clinton County,Indiana,63223,103700,103100,61100,178800
"Crawford County, Indiana",Crawford County,Indiana,47303,86700,88900,,140300
"Daviess County, Indiana",Daviess County,Indiana,61292,115400,,,191000
"Dearborn County, Indiana",Dearborn County,Indiana,78572,160800,182400,120600,272600
"Decatur County, Indiana",Decatur County,Indiana,64519,121800,136500,,214200
"DeKalb County, Indiana",DeKalb County,Indiana,65907,113600,,,
"Delaware County, Indiana",Delaware County,Indiana,56758,88600,91500,,163800
"Dubois County, Indiana",Dubois County,Indiana,72255,146000,154500,94200,247100
"Elkhart County, Indiana",Elkhart County,Indiana,65663,130800,155100,92200,239800
"Fayette County, Indiana",Fayette County,Indiana,54206,81400,73900,,124100
"Floyd County, Indiana",Floyd County,Indiana,76967,159700,161700,104500,270600
"Fountain County, Indiana",Fountain County,Indiana,61360,93500,,,157600
"Franklin County, Indiana",Franklin County,Indiana,67451,152200,178300,116500,281400
"Fulton County, Indiana",Fulton County,Indiana,57635,93600,102900,,193900
"Gibson County, Indiana",Gibson County,Indiana,68400,105700,109400,,192400
"Grant County, Indiana",Grant County,Indiana,52631,87600,87000,,159700
"Greene County, Indiana",Greene County,Indiana,60655,95900,,,153800
"Hamilton County, Indiana",Hamilton County,Indiana,119393,240000,266200,178600,428900
"Hancock County, Indiana",Hancock County,Indiana,81179,161800,183100,129100,271600
"Harrison County, Indiana",Harrison County,Indiana,66445,136400,155400,101700,236200
"Hendricks County, Indiana",Hendricks County,Indiana,88986,171600,194800,145100,285100
"Henry County, Indiana",Henry County,Indiana,59367,94800,87100,,155100
"Howard County, Indiana",Howard County,Indiana,61956,101300,97600,,176400
"Huntington County, Indiana",Huntington County,Indiana,59849,102700,100700,63000,177000
"Jackson County, Indiana",Jackson County,Indiana,59406,114600,132900,86300,206000
"Jasper County, Indiana",Jasper County,Indiana,65974,153200,169600,110400,244800
"Jay County, Indiana",Jay County,Indiana,51770,85000,81400,,126900
"Jefferson County, Indiana",Jefferson County,Indiana,63739,120000,129700,,192200
"Jennings County, Indiana",Jennings County,Indiana,57744,99900,116000,78900,175400
"Johnson County, Indiana",Johnson County,Indiana,82167,149700,171500,120800,272900
"Knox County, Indiana",Knox County,Indiana,57308,87200,86100,56600,169700
"Kosciusko County, Indiana",Kosciusko County,Indiana,71791,142700,161900,105600,302600
"LaGrange County, Indiana",LaGrange County,Indiana,71844,172500,,,
"Lake County, Indiana",Lake County,Indiana,68067,140100,145300,61900,257100
"LaPorte County, Indiana",LaPorte County,Indiana,64800,126700,,,
"Lawrence County, Indiana",Lawrence County,Indiana,60768,109200,94600,,163300
"Madison County, Indiana",Madison County,Indiana,58194,91900,95200,,160600
"Marion County, Indiana",Marion County,Indiana,63906,123500,139700,65200,222700
"Marshall County, Indiana",Marshall County,Indiana,64124,130100,138200,92000,214400
"Martin County, Indiana",Martin County,Indiana,60136,97900,84600,,158600
"Miami County, Indiana",Miami County,Indiana,59206,85500,81300,,152100
"Monroe County, Indiana",Monroe County,Indiana,66467,163900,187100,127900,325100
"Montgomery County, Indiana",Montgomery County,Indiana,63854,118400,120400,81100,184200
"Morgan County, Indiana",Morgan County,Indiana,72492,147200,163700,,
"Newton County, Indiana",Newton County,Indiana,60390,112500,116800,,183800
"Noble County, Indiana",Noble County,Indiana,64787,114500,129600,,211300
"Ohio County, Indiana",Ohio County,Indiana,65245,142400,,97600,228000
"Orange County, Indiana",Orange County,Indiana,55694,90400,,,
"Owen County, Indiana",Owen County,Indiana,59649,110200,111400,,183500
"Parke County, Indiana",Parke County,Indiana,58637,86700,80600,26400,162700
"Perry County, Indiana",Perry County,Indiana,59070,103000,108000,73900,169400
"Pike County, Indiana",Pike County,Indiana,61900,89300,80800,,162300
"Porter County, Indiana",Porter County,Indiana,82157,173100,199900,137700,312000
"Posey County, Indiana",Posey County,Indiana,75709,138800,151800,90600,236500
"Pulaski County, Indiana",Pulaski County,Indiana,57966,92600,96400,,138500
"Putnam County, Indiana",Putnam County,Indiana,67334,120300,143100,91200,216900
"Randolph County, Indiana",Randolph County,Indiana,56392,79500,81100,,132300
"Ripley County, Indiana",Ripley County,Indiana,64227,139500,124200,86100,169800
"Rush County, Indiana",Rush County,Indiana,59903,100000,104800,,161400
"St. Joseph County, Indiana",St. Joseph County,Indiana,66247,118600,,,
"Scott County, Indiana",Scott County,Indiana,62721,98800,107600,,171700
"Shelby County, Indiana",Shelby County,Indiana,67800,125300,139600,,229900
"Spencer County, Indiana",Spencer County,Indiana,71264,117900,125200,77600,196600
"Starke County, Indiana",Starke County,Indiana,56211,101600,108400,65300,180000
"Steuben County, Indiana",Steuben County,Indiana,66684,136300,160600,97400,343000
"Sullivan County, Indiana",Sullivan County,Indiana,59088,80900,,,153600
"Switzerland County, Indiana",Switzerland County,Indiana,53953,114300,91100,45100,161200
"Tippecanoe County, Indiana",Tippecanoe County,Indiana,66595,144300,157300,97700,258800
"Tipton County, Indiana",Tipton County,Indiana,68263,110300,,,
"Union County, Indiana",Union County,Indiana,54189,109900,103900,,
"Vanderburgh County, Indiana",Vanderburgh County,Indiana,63702,121200,118900,,200300
"Vermillion County, Indiana",Vermillion County,Indiana,55255,74600,54100,22400,
"Vigo County, Indiana",Vigo County,Indiana,56796,90700,92100,,170100
"Wabash County, Indiana",Wabash County,Indiana,59069,96700,103900,68800,170300
"Warren County, Indiana",Warren County,Indiana,70935,112500,,,
"Warrick County, Indiana",Warrick County,Indiana,85840,158100,172700,108300,288800
"Washington County, Indiana",Washington County,Indiana,59180,106200,126200,,214400
"Wayne County, Indiana",Wayne County,Indiana,59323,96500,93200,,158000
"Wells County, Indiana",Wells County,Indiana,64490,121000,133500,82500,205800
"White County, Indiana",White County,Indiana,64465,105800,117000,,210000
"Whitley County, Indiana",Whitley County,Indiana,69572,131600,157900,103200,250600
"Adair County, Iowa",Adair County,Iowa,65004,93200,,,
"Adams County, Iowa",Adams County,Iowa,61037,84900,,,
"Allamakee County, Iowa",Allamakee County,Iowa,63936,122800,122800,74000,
"Appanoose County, Iowa",Appanoose County,Iowa,57194,78000,,,
"Audubon County, Iowa",Audubon County,Iowa,67171,68800,,,
"Benton County, Iowa",Benton County,Iowa,80610,147800,147900,83500,245600
"Black Hawk County, Iowa",Black Hawk County,Iowa,67600,139300,126600,70200,
"Boone County, Iowa",Boone County,Iowa,71407,130500,143000,84300,242100
"Bremer County, Iowa",Bremer County,Iowa,81197,155100,,,
"Buchanan County, Iowa",Buchanan County,Iowa,78609,132500,,,
"Buena Vista County, Iowa",Buena Vista County,Iowa,70169,111100,111300,63600,190500
"Butler County, Iowa",Butler County,Iowa,67979,112100,,,
"Calhoun County, Iowa",Calhoun County,Iowa,63045,77800,,,
"Carroll County, Iowa",Carroll County,Iowa,67895,127400,137800,81900,213600
"Cass County, Iowa",Cass County,Iowa,58039,93600,,,
"Cedar County, Iowa",Cedar County,Iowa,72601,143800,162200,96100,249500
"Cerro Gordo County, Iowa",Cerro Gordo County,Iowa,69373,121500,104600,58900,202000
"Cherokee County, Iowa",Cherokee County,Iowa,69758,89200,100600,55100,182100
"Chickasaw County, Iowa",Chickasaw County,Iowa,64247,105100,,,
"Clarke County, Iowa",Clarke County,Iowa,62114,105000,,,
"Clay County, Iowa",Clay County,Iowa,64059,115700,,,
"Clayton County, Iowa",Clayton County,Iowa,63458,116500,,,
"Clinton County, Iowa",Clinton County,Iowa,65719,112400,116500,59700,205000
"Crawford County, Iowa",Crawford County,Iowa,72037,93400,,,
"Dallas County, Iowa",Dallas County,Iowa,108537,218000,232400,130400,380500
"Davis County, Iowa",Davis County,Iowa,68034,109100,,,
"Decatur County, Iowa",Decatur County,Iowa,52082,76300,,,
"Delaware County, Iowa",Delaware County,Iowa,75647,126000,150300,88500,247100
"Des Moines County, Iowa",Des Moines County,Iowa,63547,101400,91300,53400,171300
"Dickinson County, Iowa",Dickinson County,Iowa,77590,175900,221600,,517800
"Dubuque County, Iowa",Dubuque County,Iowa,74931,157200,161700,112000,261900
"Emmet County, Iowa",Emmet County,Iowa,68999,85700,,,
"Fayette County, Iowa",Fayette County,Iowa,64021,90800,,,
"Floyd County, Iowa",Floyd County,Iowa,64722,102400,,,
"Franklin County, Iowa",Franklin County,Iowa,60438,87100,,,
"Fremont County, Iowa",Fremont County,Iowa,69843,100200,,,
"Greene County, Iowa",Greene County,Iowa,65254,88900,,,
"Grundy County, Iowa",Grundy County,Iowa,84357,129900,,,
"Guthrie County, Iowa",Guthrie County,Iowa,73272,112600,117700,57700,228900
"Hamilton County, Iowa",Hamilton County,Iowa,66009,98900,,,
"Hancock County, Iowa",Hancock County,Iowa,67502,97600,98300,52000,175900
"Hardin County, Iowa",Hardin County,Iowa,66594,91300,,,
"Harrison County, Iowa",Harrison County,Iowa,69009,107600,,64300,213400
"Henry County, Iowa",Henry County,Iowa,66333,107900,,,
"Howard County, Iowa",Howard County,Iowa,65715,107700,,,
"Humboldt County, Iowa",Humboldt County,Iowa,67262,93900,,,
"Ida County, Iowa",Ida County,Iowa,69578,91900,,,
"Iowa County, Iowa",Iowa County,Iowa,72091,143900,160200,90500,239500
"Jackson County, Iowa",Jackson County,Iowa,64096,117000,139700,74000,
"Jasper County, Iowa",Jasper County,Iowa,68498,122800,129900,78500,219700
"Jefferson County, Iowa",Jefferson County,Iowa,64723,114300,,,
"Johnson County, Iowa",Johnson County,Iowa,81914,210400,221100,141400,344900
"Jones County, Iowa",Jones County,Iowa,74465,130700,,87100,256700
"Keokuk County, Iowa",Keokuk County,Iowa,61313,83700,,,
"Kossuth County, Iowa",Kossuth County,Iowa,67226,104300,,,
"Lee County, Iowa",Lee County,Iowa,58330,90200,,,
"Linn County, Iowa",Linn County,Iowa,79291,150600,145600,90900,248400
"Louisa County, Iowa",Louisa County,Iowa,68052,104200,,,
"Lucas County, Iowa",Lucas County,Iowa,64284,84900,,,216100
"Lyon County, Iowa",Lyon County,Iowa,74377,125200,,,
"Madison County, Iowa",Madison County,Iowa,77887,160400,184300,112100,300100
"Mahaska County, Iowa",Mahaska County,Iowa,65026,110100,,,
"Marion County, Iowa",Marion County,Iowa,69344,146900,143400,74000,242800
"Marshall County, Iowa",Marshall County,Iowa,64581,104600,102500,52600,181900
"Mills County, Iowa",Mills County,Iowa,81898,157000,168300,104100,294100
"Mitchell County, Iowa",Mitchell County,Iowa,66189,112300,,,
"Monona County, Iowa",Monona County,Iowa,59006,84300,,,
"Monroe County, Iowa",Monroe County,Iowa,61211,99100,,,
"Montgomery County, Iowa",Montgomery County,Iowa,55355,81800,75100,33000,151500
"Muscatine County, Iowa",Muscatine County,Iowa,71552,128100,145400,87600,242900
"O'Brien County, Iowa",O'Brien County,Iowa,73121,108000,,,
"Osceola County, Iowa",Osceola County,Iowa,62304,89500,,,
"Page County, Iowa",Page County,Iowa,60121,87600,83200,,172800
"Palo Alto County, Iowa",Palo Alto County,Iowa,65008,98100,,,
"Plymouth County, Iowa",Plymouth County,Iowa,76076,150200,,,
"Pocahontas County, Iowa",Pocahontas County,Iowa,60461,73400,,,99600
"Polk County, Iowa",Polk County,Iowa,84020,165500,184600,116700,287300
"Pottawattamie County, Iowa",Pottawattamie County,Iowa,71495,133500,131100,,248900
"Poweshiek County, Iowa",Poweshiek County,Iowa,66766,131100,151400,86100,262000
"Ringgold County, Iowa",Ringgold County,Iowa,65905,79600,,,
"Sac County, Iowa",Sac County,Iowa,66786,88100,,,
"Scott County, Iowa",Scott County,Iowa,76262,153200,154300,93700,284700
"Shelby County, Iowa",Shelby County,Iowa,71015,111700,,,
"Sioux County, Iowa",Sioux County,Iowa,76928,153800,165100,94900,260400
"Story County, Iowa",Story County,Iowa,69792,172900,172900,113300,280000
"Tama County, Iowa",Tama County,Iowa,68392,105300,,,
"Taylor County, Iowa",Taylor County,Iowa,63048,76100,,,
"Union County, Iowa",Union County,Iowa,58827,94300,,,
"Van Buren County, Iowa",Van Buren County,Iowa,61565,82700,,,
"Wapello County, Iowa",Wapello County,Iowa,56124,81000,76600,39400,152200
"Warren County, Iowa",Warren County,Iowa,84350,171400,188600,140100,300500
"Washington County, Iowa",Washington County,Iowa,71326,140400,155200,86300,254600
"Wayne County, Iowa",Wayne County,Iowa,56025,74700,,,
"Webster County, Iowa",Webster County,Iowa,58338,95300,86100,45400,169200
"Winnebago County, Iowa",Winnebago County,Iowa,61915,94400,,,
"Winneshiek County, Iowa",Winneshiek County,Iowa,72257,161500,,,
"Woodbury County, Iowa",Woodbury County,Iowa,65783,110700,116900,67700,200900
"Worth County, Iowa",Worth County,Iowa,61644,98000,,,
"Wright County, Iowa",Wright County,Iowa,64327,79200,,,
"Allen County, Kansas",Allen County,Kansas,53951,78600,70600,36700,117500
"Anderson County, Kansas",Anderson County,Kansas,51932,88200,63300,,134500
"Atchison County, Kansas",Atchison County,Kansas,64670,92900,98000,,178300
"Barber County, Kansas",Barber County,Kansas,68222,75600,48700,31300,98800
"Barton County, Kansas",Barton County,Kansas,62205,87600,80600,,147400
"Bourbon County, Kansas",Bourbon County,Kansas,52480,82600,75500,,133200
"Brown County, Kansas",Brown County,Kansas,59907,83900,74400,43100,134300
"Butler County, Kansas",Butler County,Kansas,76867,142400,127300,65000,215100
"Chase County, Kansas",Chase County,Kansas,56458,85200,59200,30600,114800
"Chautauqua County, Kansas",Chautauqua County,Kansas,53930,63300,,25500,79200
"Cherokee County, Kansas",Cherokee County,Kansas,51985,78400,,,
"Cheyenne County, Kansas",Cheyenne County,Kansas,58260,86600,,,114000
"Clark County, Kansas",Clark County,Kansas,60074,76400,54500,30000,97600
"Clay County, Kansas",Clay County,Kansas,71893,100200,92500,45700,145200
"Cloud County, Kansas",Cloud County,Kansas,56306,73200,,,120300
"Coffey County, Kansas",Coffey County,Kansas,73560,111000,,53600,170200
"Comanche County, Kansas",Comanche County,Kansas,64557,73200,38300,23400,71300
"Cowley County, Kansas",Cowley County,Kansas,59224,85700,72200,,145200
"Crawford County, Kansas",Crawford County,Kansas,52461,87300,77900,,156300
"Decatur County, Kansas",Decatur County,Kansas,61318,63400,58500,36600,95800
"Dickinson County, Kansas",Dickinson County,Kansas,58949,110700,96900,,176400
"Doniphan County, Kansas",Doniphan County,Kansas,62159,95300,79200,,134800
"Douglas County, Kansas",Douglas County,Kansas,73633,188100,207000,146500,325000
"Edwards County, Kansas",Edwards County,Kansas,66838,61200,40400,25500,79000
"Elk County, Kansas",Elk County,Kansas,46848,48300,,,
"Ellis County, Kansas",Ellis County,Kansas,70088,159400,170500,106500,246600
"Ellsworth County, Kansas",Ellsworth County,Kansas,58059,88500,75100,,137500
"Finney County, Kansas",Finney County,Kansas,67342,126200,152800,100800,226900
"Ford County, Kansas",Ford County,Kansas,64807,108400,110100,,177200
"Franklin County, Kansas",Franklin County,Kansas,65020,121700,109200,54600,189700
"Geary County, Kansas",Geary County,Kansas,56035,141900,132100,,206900
"Gove County, Kansas",Gove County,Kansas,66141,78900,,,
"Graham County, Kansas",Graham County,Kansas,55293,69600,62100,33000,108900
"Grant County, Kansas",Grant County,Kansas,75083,102800,110000,72400,183700
"Gray County, Kansas",Gray County,Kansas,72091,117900,109400,75300,184100
"Greeley County, Kansas",Greeley County,Kansas,60070,86100,,,
"Greenwood County, Kansas",Greenwood County,Kansas,55178,61100,41100,28400,
"Hamilton County, Kansas",Hamilton County,Kansas,58399,86800,92700,71700,126200
"Harper County, Kansas",Harper County,Kansas,61010,66700,,25000,
"Harvey County, Kansas",Harvey County,Kansas,67353,120200,127600,69000,215800
"Haskell County, Kansas",Haskell County,Kansas,70065,102600,102100,67600,169100
"Hodgeman County, Kansas",Hodgeman County,Kansas,67539,86700,63500,31200,118400
"Jackson County, Kansas",Jackson County,Kansas,65250,128100,99900,50500,175800
"Jefferson County, Kansas",Jefferson County,Kansas,68340,135800,129700,84900,200200
"Jewell County, Kansas",Jewell County,Kansas,52254,53700,44500,28100,76700
"Johnson County, Kansas",Johnson County,Kansas,109320,232500,284200,199000,450800
"Kearny County, Kansas",Kearny County,Kansas,70405,98200,111500,86800,162600
"Kingman County, Kansas",Kingman County,Kansas,72278,92200,,42200,137300
"Kiowa County, Kansas",Kiowa County,Kansas,61418,133800,88000,35000,175000
"Labette County, Kansas",Labette County,Kansas,56287,74900,,,100500
"Lane County, Kansas",Lane County,Kansas,62223,76400,61300,,89800
"Leavenworth County, Kansas",Leavenworth County,Kansas,82803,171000,175300,89100,278900
"Lincoln County, Kansas",Lincoln County,Kansas,61021,68900,48500,23500,107900
"Linn County, Kansas",Linn County,Kansas,57621,89400,76900,36500,151100
"Logan County, Kansas",Logan County,Kansas,67633,83100,,,
"Lyon County, Kansas",Lyon County,Kansas,59137,98500,94500,57500,176200
"McPherson County, Kansas",McPherson County,Kansas,70726,140300,141600,86200,223200
"Marion County, Kansas",Marion County,Kansas,62497,81300,,,136400
"Marshall County, Kansas",Marshall County,Kansas,65232,93400,72500,37100,142900
"Meade County, Kansas",Meade County,Kansas,63123,88700,74000,,117300
"Miami County, Kansas",Miami County,Kansas,79442,181100,196800,103600,319100
"Mitchell County, Kansas",Mitchell County,Kansas,58729,85700,76300,34400,160000
"Montgomery County, Kansas",Montgomery County,Kansas,55033,74000,52500,,114200
"Morris County, Kansas",Morris County,Kansas,62907,95100,,,158900
"Morton County, Kansas",Morton County,Kansas,56693,97700,87200,,127700
"Nemaha County, Kansas",Nemaha County,Kansas,68108,116500,96300,,190000
"Neosho County, Kansas",Neosho County,Kansas,56952,77300,62400,,107500
"Ness County, Kansas",Ness County,Kansas,68370,70500,60500,31100,115700
"Norton County, Kansas",Norton County,Kansas,58848,73700,60900,33100,115400
"Osage County, Kansas",Osage County,Kansas,64630,107200,98600,72400,161900
"Osborne County, Kansas",Osborne County,Kansas,57457,61300,44600,24900,95200
"Ottawa County, Kansas",Ottawa County,Kansas,69313,98600,,,172200
"Pawnee County, Kansas",Pawnee County,Kansas,59709,75600,71700,27400,135500
"Phillips County, Kansas",Phillips County,Kansas,56341,76900,55900,30500,107800
"Pottawatomie County, Kansas",Pottawatomie County,Kansas,75448,169300,186700,109600,290300
"Pratt County, Kansas",Pratt County,Kansas,67489,87600,74700,40800,168400
"Rawlins County, Kansas",Rawlins County,Kansas,60662,81700,,,
"Reno County, Kansas",Reno County,Kansas,62147,96600,91700,,172100
"Republic County, Kansas",Republic County,Kansas,55313,60500,50500,28000,102200
"Rice County, Kansas",Rice County,Kansas,57803,74800,55500,,113400
"Riley County, Kansas",Riley County,Kansas,68704,189200,,,
"Rooks County, Kansas",Rooks County,Kansas,59917,75400,60600,31100,112200
"Rush County, Kansas",Rush County,Kansas,56416,69900,50100,,90200
"Russell County, Kansas",Russell County,Kansas,56225,90100,66900,,127700
"Saline County, Kansas",Saline County,Kansas,66710,125400,121100,69400,213100
"Scott County, Kansas",Scott County,Kansas,76107,135900,94200,62900,165000
"Sedgwick County, Kansas",Sedgwick County,Kansas,70101,130900,136200,67400,223900
"Seward County, Kansas",Seward County,Kansas,62619,98500,110000,69400,163100
"Shawnee County, Kansas",Shawnee County,Kansas,69480,127600,120700,56000,212800
"Sheridan County, Kansas",Sheridan County,Kansas,67995,101000,,,
"Sherman County, Kansas",Sherman County,Kansas,57560,86300,,,155800
"Smith County, Kansas",Smith County,Kansas,61772,66200,46500,,
"Stafford County, Kansas",Stafford County,Kansas,62148,61800,,26700,81400
"Stanton County, Kansas",Stanton County,Kansas,52422,71900,,,
"Stevens County, Kansas",Stevens County,Kansas,70117,110000,101700,,172800
"Sumner County, Kansas",Sumner County,Kansas,62955,86800,79900,,149300
"Thomas County, Kansas",Thomas County,Kansas,65807,114000,134500,,179700
"Trego County, Kansas",Trego County,Kansas,67715,84400,67500,34500,135700
"Wabaunsee County, Kansas",Wabaunsee County,Kansas,64055,111900,127500,65000,191700
"Wallace County, Kansas",Wallace County,Kansas,72508,88300,,,
"Washington County, Kansas",Washington County,Kansas,62444,75300,65300,,117300
"Wichita County, Kansas",Wichita County,Kansas,65918,84000,,,
"Wilson County, Kansas",Wilson County,Kansas,58883,66700,,,
"Woodson County, Kansas",Woodson County,Kansas,46568,53200,47500,29100,83000
"Wyandotte County, Kansas",Wyandotte County,Kansas,53135,92800,106200,,174200
"Adair County, Kentucky",Adair County,Kentucky,46862,85900,,,
"Allen County, Kentucky",Allen County,Kentucky,55402,102500,,,
"Anderson County, Kentucky",Anderson County,Kentucky,62434,138600,151100,92200,228900
"Ballard County, Kentucky",Ballard County,Kentucky,61171,102600,,,
"Barren County, Kentucky",Barren County,Kentucky,50553,110400,,,199100
"Bath County, Kentucky",Bath County,Kentucky,52338,77900,,,
"Bell County, Kentucky",Bell County,Kentucky,35347,59400,,,
"Boone County, Kentucky",Boone County,Kentucky,90790,183700,199800,133300,292300
"Bourbon County, Kentucky",Bourbon County,Kentucky,63736,144900,136800,84100,237000
"Boyd County, Kentucky",Boyd County,Kentucky,66020,103900,90100,45500,159500
"Boyle County, Kentucky",Boyle County,Kentucky,61364,141100,143100,85000,248200
"Bracken County, Kentucky",Bracken County,Kentucky,53748,102300,,,
"Breathitt County, Kentucky",Breathitt County,Kentucky,41669,50000,,,
"Breckinridge County, Kentucky",Breckinridge County,Kentucky,54046,95200,106000,,180700
"Bullitt County, Kentucky",Bullitt County,Kentucky,69853,153100,,,252300
"Butler County, Kentucky",Butler County,Kentucky,53203,90400,,,
"Caldwell County, Kentucky",Caldwell County,Kentucky,60480,95300,80500,32900,158300
"Calloway County, Kentucky",Calloway County,Kentucky,53638,130100,132900,71900,208900
"Campbell County, Kentucky",Campbell County,Kentucky,77224,160700,152100,80900,260300
"Carlisle County, Kentucky",Carlisle County,Kentucky,58440,89200,,,
"Carroll County, Kentucky",Carroll County,Kentucky,58536,103800,,,
"Carter County, Kentucky",Carter County,Kentucky,46653,83300,,,
"Casey County, Kentucky",Casey County,Kentucky,45240,77600,,,
"Christian County, Kentucky",Christian County,Kentucky,54983,112200,114900,65900,192000
"Clark County, Kentucky",Clark County,Kentucky,65497,139200,155500,95700,255800
"Clay County, Kentucky",Clay County,Kentucky,39395,55600,,,
"Clinton County, Kentucky",Clinton County,Kentucky,46605,66100,,,
"Crittenden County, Kentucky",Crittenden County,Kentucky,55515,84600,,,
"Cumberland County, Kentucky",Cumberland County,Kentucky,44396,90300,,,
"Daviess County, Kentucky",Daviess County,Kentucky,65738,123200,129300,76900,220300
"Edmonson County, Kentucky",Edmonson County,Kentucky,53942,87100,,,
"Elliott County, Kentucky",Elliott County,Kentucky,39110,72700,,,
