"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-12-31,3128,"Saint Johns County","FL","Jacksonville",322,310300,0.00193735873425896,0.008777633289987,0.0511517615176152,0.0664941167420803,0.0193826080641253,"2006-09","2006-Q3",344100,-0.0982272595175821,"2005-11"
2018-12-31,2955,"Litchfield County","CT","Torrington",323,268300,-0.00776627218934911,-0.0117863720073665,0.0375096674400619,0.0192524744614195,-0.00695693898736449,"2006-04","2006-Q2",327900,-0.181762732540409,"2004-02"
2018-12-31,2448,"Muscogee County","GA","Columbus",324,101300,0.011988011988012,0.0336734693877551,0.14334085778781,0.0280829861980227,-0.00675127482330229,"2008-02","2008-Q1",113900,-0.11062335381914,"2005-03"
2018-12-31,913,"Canyon County","ID","Boise City",325,217900,0.0167988800746617,0.0577669902912621,0.182953311617807,0.107295453529675,0.0345811069172359,"2018-12","2018-Q4",217900,0,"2018-12"
2018-12-31,2122,"Anderson County","SC","Greenville-Anderson-Mauldin",326,150300,0.00467914438502674,0.019674355495251,0.101098901098901,0.0528113796496359,0.0207461634678305,"2018-12","2018-Q4",150300,0,"2018-12"
2018-12-31,2333,"Harrison County","MS","Gulfport-Biloxi-Pascagoula",327,132300,0.00531914893617021,0.0458498023715415,0.230697674418605,0.0291413907281841,0.000530645965752363,"2010-10","2010-Q4",163400,-0.190330477356181,"2009-11"
2018-12-31,1314,"Peoria County","IL","Peoria",328,99900,-0.001,-0.0049800796812749,0.069593147751606,-0.00258247390191491,-0.00590941118138788,"2008-07","2008-Q3",106800,-0.0646067415730337,"2005-10"
2018-12-31,1092,"Hawaii County","HI","Hilo",329,349200,-0.000858369098712446,-0.0177215189873418,0.0514905149051491,0.05849734939041,0.0153021317320925,"2006-10","2006-Q4",371100,-0.0590137429264349,"2006-02"
2018-12-31,3080,"Williamson County","TN","Nashville-Davidson--Murfreesboro--Franklin",330,465700,0.0077905215321359,0.0221685689201054,0.0671402383134739,0.0696379392140347,0.036594563559728,"2018-12","2018-Q4",465700,0,"2018-12"
2018-12-31,1448,"Ulster County","NY","Kingston",331,228400,0.00439753737906772,0.00972590627763042,0.106053268765133,0.0375009420520436,0.00226078361965176,"2006-01","2006-Q1",253400,-0.0986582478295185,"2005-02"
2018-12-31,1525,"Baldwin County","AL","Daphne-Fairhope-Foley",332,213600,0.010406811731315,0.0254440710513682,0.179458862506902,0.0518431244787527,0.0124181582135143,"2006-10","2006-Q4",222400,-0.039568345323741,"2006-05"
2018-12-31,2691,"El Dorado County","CA","Sacramento--Roseville--Arden-Arcade",333,480100,0.00481372959397237,0.0152252061746669,0.0779074988774136,0.0679516582699646,0.0294077863134861,"2006-01","2006-Q1",497300,-0.0345867685501709,"2005-07"
2018-12-31,2959,"Livingston County","MI","Detroit-Warren-Dearborn",334,266000,0.00453172205438067,0.0183767228177642,0.0866013071895425,0.0858632785399442,0.0524097791489255,"2018-12","2018-Q4",266000,0,"2018-12"
2018-12-31,2460,"Okaloosa County","FL","Crestview-Fort Walton Beach-Destin",335,222100,0.00679963735267452,0.0253924284395199,0.0887254901960784,0.0557918861499815,0.0221517366614812,"2006-01","2006-Q1",250400,-0.113019169329073,"2005-05"
2018-12-31,3278,"Newport News City","VA","Virginia Beach-Norfolk-Newport News",336,178200,0.00564334085778781,0.0142287990893569,0.0378567268491555,0.0297547785704131,-0.00830572085046055,"2008-02","2008-Q1",200900,-0.112991538078646,"2005-12"
2018-12-31,3146,"Vanderburgh County","IN","Evansville",337,118900,0.0016849199663016,0.0197255574614065,0.0606601248884924,0.0419845978446691,0.0132845330719991,"2018-12","2018-Q4",118900,0,"2018-12"
2018-12-31,172,"Hall County","GA","Gainesville",338,193300,0.00729546638874414,0.0243773184949656,0.107736389684814,0.0864461151962097,0.0251396970042841,"2018-12","2018-Q4",193300,0,"2018-12"
2018-12-31,2159,"Cabarrus County","NC","Charlotte-Concord-Gastonia",339,196700,0.00357142857142857,0.0234131113423517,0.103196859226024,0.0719089865659264,0.0233875886878934,"2018-12","2018-Q4",196700,0,"2018-12"
2018-12-31,2023,"Shawnee County","KS","Topeka",340,120700,0.00249169435215947,0.0246179966044143,0.0441176470588235,0.0330277353230755,0.0124050086495406,"2018-12","2018-Q4",120700,0,"2018-12"
2018-12-31,2141,"Berkeley County","SC","Charleston-North Charleston",341,200900,0.00701754385964912,0.0297283444387494,0.0906623235613464,0.0638894215597201,0.0247018513888735,"2018-12","2018-Q4",200900,0,"2018-12"
2018-12-31,1285,"Onslow County","NC","Jacksonville",342,143900,0.00418702023726448,0.0148095909732017,0.0675074183976261,0.00336944321667598,-0.00559198944706607,"2010-03","2010-Q1",155400,-0.074002574002574,"2007-06"
2018-12-31,1380,"Shasta County","CA","Redding",343,258200,0.00310800310800311,0.00938232994526974,0.0577632117984433,0.0631506871279501,0.0182890036143926,"2006-06","2006-Q2",289300,-0.107500864154857,"2005-04"
